######################################################################								
# Company:	LCL_JoeFresh							
# URL:	www.beautyboutique.ca							
# Site:	www.beautyboutique.ca							
# Range:	Fri. 24 Nov. 2017 - Thu. 30 Nov. 2017							
# Report:	Last Touch Channel Report							
# Description:								
######################################################################								
# Report Options:								
# Report Type: 	Ranked							
# Selected Metrics: 	"Revenue, Visits, Orders"							
# Broken Down by: 	Last Touch Channel Detail							
# Data Filter: 	None							
# Compare to Report Suite: 	None							
# Compare to Segment: 	None							
# Selected Last Touch Channel: 	Paid Social: Facebook							
# Percent Shown as: 	Number							
# Segment: 	All Visits (No Segment)							
######################################################################								
#								
# Copyright 2017 Adobe Systems Incorporated. All rights reserved.								
# Use of this document signifies your agreement to the Terms of Use (http://marketing.adobe.com/resources/help/terms.html?type=prod&locale=en_US) and Online Privacy Policy (http://my.omniture.com/x/privacy).								
# Adobe Systems Incorporated products and services are licensed under the following Netratings patents: 5675510 5796952 6115680 6108637 6138155 6643696 and 6763386.								
#								
######################################################################								
								
Last Touch Channel by Last Touch Channel Detail 		Revenue		Visits		Orders		
1	Paid Social: Facebook	4315		16252		38		
	88	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C7	0	0.00%	16	0.10%	0	0.00%
	89	fb_P11_ca_BB-BlackFridayWeek-Nov20_ViewedProductMakeup60Days-Collection-V2	0	0.00%	15	0.10%	0	0.00%
	90	fb_P11_ca_BB-BlackFridayWeek-Nov20_PredictedCLV75to90-Collection-V2	0	0.00%	15	0.10%	0	0.00%
	91	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LifecycleRepeatBuyer-Collection-EN	0	0.00%	14	0.10%	0	0.00%
	92	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C5	0	0.00%	13	0.10%	0	0.00%
	93	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLifecycleRepeatBuyer-Collection-FR	0	0.00%	13	0.10%	0	0.00%
	94	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers10Days-Carousel-V2	0	0.00%	12	0.10%	0	0.00%
	95	fb_P12_ca_BB-CyberMonday-Nov27_ActiveBuyer-Collection-V1	0	0.00%	11	0.10%	0	0.00%
	96	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLifecycleActiveBuyer-Collection-FR	0	0.00%	11	0.10%	0	0.00%
	97	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C5	0	0.00%	9	0.10%	0	0.00%
	98	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C6	0	0.00%	8	0.00%	0	0.00%
	99	fb_P11_ca_BB-BlackFridayWeek-Nov20_ViewedProductMakeup60Days-Collection-V1	0	0.00%	8	0.00%	0	0.00%
	100	fb_P12_ca_BB-HolidayValuePropWomen-Nov13_PlayfulPaige-Canvas-ShopGiftSets	0	0.00%	7	0.00%	0	0.00%
	101	fb_P10_ca_BB-RedemptionEvent-Sept23_PredictedCLVTop10-Standard-V1	0	0.00%	7	0.00%	0	0.00%
	102	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikePredictedCLV7thto90-Collection-V1	0	0.00%	6	0.00%	0	0.00%
	103	fb_P12_ca_BB-CyberMonday-Nov27_PredictedCLVTop10-Collection-V1	0	0.00%	6	0.00%	0	0.00%
	104	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_DemiDerm-Canvas-ShopGiftsByPrice	0	0.00%	6	0.00%	0	0.00%
	105	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C3	0	0.00%	6	0.00%	0	0.00%
	106	fb_P11_ca_BB-BlackFridayWeek-Nov20_LikelihoodtoConvertMedium-Collection-V1	0	0.00%	6	0.00%	0	0.00%
	107	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_Carousel_V1_C6	0	0.00%	5	0.00%	0	0.00%
	108	fb_P11_ca_BB-BlackFridayWeek-Nov20_ViewedProductSkinCare60Days-Collection-V2	0	0.00%	5	0.00%	0	0.00%
	109	fb_P12_ca_BB-CyberMonday-Nov27_LifecycleRepeatBuyer-Collection-V2	0	0.00%	3	0.00%	0	0.00%
	110	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C2	0	0.00%	3	0.00%	0	0.00%
	111	fb_P12_BB-Holiday-Men_Bluecore-Purchasers-Men_EN_Standard	0	0.00%	3	0.00%	0	0.00%
	112	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C9	0	0.00%	3	0.00%	0	0.00%
	113	fb_P12_ca_BB-CyberMonday-Nov27_LifecycleRepeatBuyer-Collection-V1	0	0.00%	3	0.00%	0	0.00%
	114	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C9	0	0.00%	3	0.00%	0	0.00%
	115	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_IGcarousel_V1_C2	0	0.00%	3	0.00%	0	0.00%
	116	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_DemiDerm-Canvas-ShopGiftSets	0	0.00%	3	0.00%	0	0.00%
	117	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Standard_V3	0	0.00%	3	0.00%	0	0.00%
	118	fb_P8_ca_BB-RedemptionEvent-July20_AllProductsBluecoreLikelihoodConvertHigh-Standard-V2	0	0.00%	3	0.00%	0	0.00%
	119	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C8	0	0.00%	3	0.00%	0	0.00%
	120	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_Carousel_V1_C2	0	0.00%	2	0.00%	0	0.00%
	121	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_IGcarousel_V1_C4	0	0.00%	2	0.00%	0	0.00%
	122	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C7	0	0.00%	2	0.00%	0	0.00%
	123	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C8	0	0.00%	2	0.00%	0	0.00%
	124	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C8	0	0.00%	2	0.00%	0	0.00%
	125	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers30Days-Carousel-V2	0	0.00%	2	0.00%	0	0.00%
	126	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C3	0	0.00%	2	0.00%	0	0.00%
	127	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_Carousel_V1_C3	0	0.00%	2	0.00%	0	0.00%
	128	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C10	0	0.00%	2	0.00%	0	0.00%
	129	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C3	0	0.00%	2	0.00%	0	0.00%
	130	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_SamplerCalendar-Canvas-TakeTheQuiz	0	0.00%	2	0.00%	0	0.00%
	131	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C1	0	0.00%	2	0.00%	0	0.00%
	132	fb_P11_ca_BB-BlackFridayWeek-Nov20_PredictedCLV75to90-Collection-V1	0	0.00%	2	0.00%	0	0.00%
	133	fb_P12_ca_BB-38Kon200-CyberMonday-Nov28_lookalike-1-customers-aov200-V1-C1	0	0.00%	1	0.00%	0	0.00%
	134	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Standard_V2	0	0.00%	1	0.00%	0	0.00%
